Department,Object Name,Title,Culture,Period,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date
"Arts of Africa, Oceania, and the Americas",Painting,"Painting by Lunda Hoye Gill, ""Asmat Chief""",Asmat people,,,Lunda Hoyle Gill,"American, 1928–2003 Encino, California",,Gill Lunda Hoyle,,1928      ,2003      ,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,,,,,,,,,,mid-20th century,1900
Modern and Contemporary Art,Painting,Life Cycle II,,,,Scott Fraser,"American, born Evanston, Illinois 1957",,"Fraser, Scott",American,1957      ,2057      ,2000,2000
Modern and Contemporary Art,Painting,Mystery,,,,Tremain Smith,"American, born Charlottesville, Virginia 1961",,"Smith, Tremain",American,1961      ,9999      ,2000,2000
Modern and Contemporary Art,Painting,Nest,,,,Martin Kline,"American, born Norwalk, Ohio 1961",,"Kline, Martin",American,1961      ,2061      ,2000,2000
Modern and Contemporary Art,Painting,"The Oxbow: After Church, After Cole, Flooded (Flooded River for the Matriarchs E. & A. Mongan), Green Light",,,,Stephen Hannock,"American, born Albany, New York 1951",,"Hannock, Stephen",American,1951      ,2051      ,2000,2000
Modern and Contemporary Art,Painting,Tadasana,,,,John Gibson,"American, born Northampton, Massachusetts 1958",,"Gibson, John",American,1958      ,2058      ,2000,2000
Modern and Contemporary Art,Painting,Gabel Mukaber Village Sketch,,,,Anne Peretz,"American, born 1938",,"Peretz, Anne",American,1938      ,2038      ,2000,2000
Modern and Contemporary Art,Painting,Between the Lines,,,,Tom Levine,"American, born Cincinnati, Ohio 1945",,"Levine, Tom",American,1945      ,9999      ,2000,2000
Modern and Contemporary Art,Painting,"Exposed Painting Charcoal Black, Yellow Violet Oxide",,,,Callum Innes,"British, born Edinburgh 1962",,"Innes, Callum",British,1962      ,2062      ,2000,2000
